Question ID,Topic,Ref #,Question (FI),Question (EN),Option A (FI),Option A (EN),Option B (FI),Option B (EN),Option C (FI),Option C (EN),Correct (A/B/C),Focus words (FI),Focus words (EN),Positive clues (FI),Positive clues (EN),Negative clues (FI),Negative clues (EN),Explanation (EN),Difficulty,Tags,Status,Reviewer notes
Q250,Liikennemerkki / pysähtyminen,M7,Miksi sinun on pimeän aikaan tielle pysähdyttyäsi laitettava pysäköintiin tarkoitetut valot päälle?,Why must you switch on the parking lights when you have stopped on the road in the dark?,Jotta muut tienkäyttäjät näkevät tielle pysähtyneen ajoneuvosi.,So that other road users can see your stationary vehicle.,Jotta havaitset paremmin tiealueella liikkuvat eläimet.,So that you can better spot animals moving on the road area.,Koska pysäköintiin tarkoitetut valot kuluttavat vähemmän virtaa kuin lähivalot.,Because parking lights consume less power than dipped headlights.,A,pimeän aikaan tielle pysähdyttyäsi,stopped on the road in the dark,muut tienkäyttäjät näkevät tielle pysähtyneen ajoneuvosi,other road users can see your vehicle,havaitset paremmin tiealueella liikkuvat eläimet; kuluttavat vähemmän virtaa,spot animals; consume less power,"Parking lights make a stationary vehicle visible to approaching traffic (A), preventing rear-end collisions.",Easy,parking lights; visibility; night,ai-draft,
Q251,Hätätilanne / poliisi / ensiapu,M76,Missä tilanteessa liikenneonnettomuudessa loukkaantunut henkilö tulee siirtää onnettomuuspaikalta?,In which situation must an injured person be moved from the accident scene?,Aina jos se on loukkaantuneen hengen pelastamiseksi välttämätöntä.,Always if it is necessary to save the injured person's life.,Henkilö on siirrettävä aina.,The person must always be moved.,Aina jos henkilö on loukkaantuneena ajoneuvon sisällä.,Always if the person is injured inside the vehicle.,A,loukkaantunut henkilö tulee siirtää,moving an injured person,hengen pelastamiseksi välttämätöntä,necessary to save their life,siirrettävä aina; Aina jos henkilö on loukkaantuneena ajoneuvon sisällä,always moved; always if inside the vehicle,Only move if life-saving (A).,Medium,accident; first aid; moving injured,ai-draft,
Q252,Ajolupa / viranomainen,M79,Mikä seuraavista toimii esteenä taksinkuljettajan ajoluvan myöntämiselle?,Which of the following is an obstacle to granting a taxi driver's licence?,Toisen asteen koulutuksen suorittamatta jättäminen.,Not having completed secondary education.,Alle vuoden voimassa ollut B-luokan ajo-oikeus.,Having held a class B driving licence for less than one year.,None,None,B,esteenä taksinkuljettajan ajoluvan myöntämiselle,obstacle to granting the licence,Alle vuoden voimassa ollut B-luokan ajo-oikeus,class B licence held for less than one year,Toisen asteen koulutuksen suorittamatta jättäminen,not completing secondary education,A class B licence held for less than one year is a formal disqualifier (B). Secondary education is not required.,Medium,licence; B licence; one year; review-flag,ai-draft,Option C is blank in master (original source missing). Two-option question; answer B is clear.
Q253,Liikennemerkki / pysähtyminen,M81,"Mikä on oikea tapa toimia, kun asiakas pyytää pysähtymään paikassa, jossa pysähtyminen on kielletty?",What is the correct way to act when a customer asks you to stop in a place where stopping is prohibited?,Asiakas voi aina päättää pysähtymispaikan.,The customer may always decide the stopping place.,"Et voi pysähtyä paikkaan, jossa pysähtyminen on kielletty.",You cannot stop in a place where stopping is prohibited.,Pysähtymissäännöistä voi perustellusta syystä poiketa.,Stopping rules may be deviated from for a justified reason.,B,pysähtyminen on kielletty,stopping is prohibited,"Et voi pysähtyä paikkaan, jossa pysähtyminen on kielletty",you cannot stop where stopping is prohibited,Asiakas voi aina päättää pysähtymispaikan; voi perustellusta syystä poiketa,customer always decides; may deviate for a justified reason,"You cannot stop where it is prohibited (B). The customer does not override traffic law (A), and taxis have no justified-reason exemption from stopping rules (C).",Easy,no-stopping; traffic rules,ai-draft,
Q254,Ajolupa / viranomainen,M84,"Auliksen ajoluvan asemapaikka on Vantaa, mutta hän on muuttamassa Jyväskylään ja on löytänyt uuden työnantajan sieltä. Voiko Aulis aloittaa työskentelyn jyväskyläläisellä työnantajalla?","Aulis has a taxi licence with Vantaa as the home base, but he is moving to Jyväskylä and has found a new employer there. Can Aulis start working for the Jyväskylä employer?","Ei, sillä taksinkuljettajan ajolupa on voimassa vain kaksi vuotta.","No, because a taxi driver's licence is valid for only two years.","Kyllä, mutta suoritettuaan hyväksytysti Jyväskylän paikallistuntemuskokeen ja haettuaan ajoluvan kelpoisuusalueen laajentamista Traficomilta.","Yes, but only after passing the Jyväskylä local-knowledge test and applying to Traficom to extend the licence's coverage area.","Kyllä, sillä taksinkuljettajan ajolupa on voimassa koko Manner-Suomen alueella.","Yes, because a taxi driver's licence is valid across the whole of mainland Finland.",C,asemapaikka on Vantaa; muuttamassa Jyväskylään,home base is Vantaa; moving to Jyväskylä,voimassa koko Manner-Suomen alueella,valid across all of mainland Finland,voimassa vain kaksi vuotta; paikallistuntemuskokeen,valid for only two years; local-knowledge test,"A taxi licence is valid across all of mainland Finland — no local-knowledge test or area extension is needed (C). Licences last up to five years, not two (A).",Medium,licence; mainland Finland; validity area,ai-draft,
Q255,Ajolupa / viranomainen,M85,Millä tavalla taksinkuljettajan ajolupaa hakeva henkilö osoittaa täyttävänsä ryhmän 2 terveysvaatimukset?,How does a taxi driver licence applicant demonstrate meeting group 2 health requirements?,Lääkärinlausunnolla ajoterveysvaatimusten täyttymisestä.,By a medical certificate confirming the driving health requirements are met.,Omalla vakuutuksella ajoterveysvaatimusten täyttymisestä.,By their own declaration that the driving health requirements are met.,Ajoterveysvaatimusten täyttyminen on tarkastettu B-luokan ajo-oikeuden myöntämisen yhteydessä.,The health requirements were checked when the class B licence was granted.,A,ryhmän 2 terveysvaatimukset,group 2 health requirements,Lääkärinlausunnolla,a medical certificate,omalla vakuutuksella; tarkastettu B-luokan ajo-oikeuden myöntämisen yhteydessä,own declaration; checked at B-licence stage,Group 2 (professional driver) health requirements need a doctor's certificate (A). Self-declaration (B) is insufficient; group 2 is stricter than the group 1 check at B-licence stage (C).,Medium,health requirements; group 2; medical certificate,ai-draft,
Q256,Hätätilanne / poliisi / ensiapu,M87,Ennakoivassa ajotavassa tärkeintä on?,What is most important in anticipatory driving?,Osata toimia oikein onnettomuuden sattuessa.,Knowing how to act correctly when an accident happens.,Taito toimia oikein vaaratilanteessa onnettomuuden välttämiseksi.,The skill to act correctly in a dangerous situation to avoid an accident.,"Pyrkiä ajamaan niin, ettei joudu vaara- eikä onnettomuustilanteeseen.",Aiming to drive so that you never end up in a dangerous or accident situation.,C,Ennakoivassa ajotavassa,anticipatory driving,"ajamaan niin, ettei joudu vaara- eikä onnettomuustilanteeseen",drive so you never reach a dangerous situation,toimia oikein onnettomuuden sattuessa; vaaratilanteessa onnettomuuden välttämiseksi,act correctly when an accident happens; in a dangerous situation to avoid accident,True anticipatory driving means preventing dangerous situations entirely (C). A is post-accident; B is reactive to danger already present. C is proactive.,Medium,anticipatory driving; proactive; traffic safety,ai-draft,
Q257,Ajotapa / nopeus / turvaväli,M88,Mitä sinun on huomioitava ajaessasi toisen ajoneuvon takana?,What must you take into account when driving behind another vehicle?,Turvavälin pitämisellä ei ole merkitystä.,Maintaining a gap makes no difference.,"Turvavälin pitäminen edellä ajavaan pienentää myös sitä riskiä, että takanani ajava ajaisi päälleni.",Keeping a gap to the vehicle ahead also reduces the risk of the vehicle behind me rear-ending me.,Turvavälin pitämisellä edessä olevaan ei ole merkitystä turvallisen ajamisen kannalta.,Keeping a gap to the vehicle ahead has no importance for safe driving.,B,toisen ajoneuvon takana; turvavälin pitäminen,behind another vehicle; maintaining a gap,"pienentää myös sitä riskiä, että takanani ajava ajaisi päälleni",also reduces the risk of a rear-end from behind,ei ole merkitystä,makes no difference,A safe gap ahead gives reaction time and also reduces the chain-reaction risk from behind (B).,Easy,safe following distance; rear-end; traffic safety,ai-draft,
Q258,Työaika / ajopäiväkirja,M91,Koskeeko työaikalaki taksinkuljettajaa?,Does the Working Hours Act apply to taxi drivers?,Kyllä koskee.,"Yes, it does.","Ei koske, jos siitä on sovittu työsopimuksen yhteydessä.","No, if agreed upon in the employment contract.",Ei koske missään tilanteessa.,"No, under no circumstances.",A,työaikalaki,Working Hours Act,Kyllä koskee,"yes, it does","Ei koske, jos siitä on sovittu työsopimukse; Ei koske missään tilanteessa",no if agreed in contract; no under any circumstances,The Working Hours Act applies to all employed taxi drivers — it cannot be contracted out of (A).,Easy,Working Hours Act; employment; legal,ai-draft,
Q259,Ajolupa / viranomainen,M92,Kuka voi peruuttaa taksinkuljettajan ajoluvan?,Who can revoke a taxi driver's licence?,Poliisi.,The police.,Taksin paikallisyhdistys.,The local taxi association.,Liikenne- ja viestintävirasto.,The Finnish Transport and Communications Agency (Traficom).,A,peruuttaa taksinkuljettajan ajoluvan,revoke a taxi driver's licence,Poliisi,the police,Taksin paikallisyhdistys; Liikenne- ja viestintävirasto,the local taxi association; Traficom,The police have the authority to revoke a taxi driver's licence (A). Local associations (B) have no legal authority; Traficom (C) grants licences but revocation power rests with the police.,Medium,licence revocation; police; authority,ai-draft,
Q260,Ajoneuvo / lupavelvoitteet,M93,Milloin taksiliikenteessä saa ajaa ilman taksivalaisinta?,When may you drive in taxi service without the taxi sign lit?,Kaikissa ajoissa.,In all driving.,"Aina silloin, kun ajo alkaa muualta kuin taksiasema-alueelta.",Always when the ride starts somewhere other than a taxi rank.,"Silloin, jos kyseessä on sopimusajo, josta on tehty kirjallinen sopimus.",When the ride is a contract ride for which a written agreement has been made.,C,ilman taksivalaisinta,without the taxi sign,"sopimusajo, josta on tehty kirjallinen sopimus",a contract ride with a written agreement,Kaikissa ajoissa; kun ajo alkaa muualta kuin taksiasema-alueelta,all driving; when starting other than at a rank,"The taxi sign may be unlit for written-contract rides (C). It is not unlit in all cases (A), and the starting point is irrelevant (B).",Medium,taxi sign; contract ride; regulations,ai-draft,
Q261,Ajotapa / nopeus / turvaväli,M94,"Mikä on oikea tapa toimia tilanteessa, kun kyydissä olevalla matkustajalla on kiire ja liikenne on ruuhkautunut?",What is the correct way to act when the passenger is in a hurry and traffic is congested?,Pidät asiakkaan tilanteen tasalla ja kerrot mahdollisesta myöhästymisestä.,You keep the customer informed and notify them of any possible delay.,Aikataulun kiinniottamiseksi voit ajaa loppumatkan ylinopeudella.,To make up time you may drive the rest of the journey at speed.,"Asiakkaan kiireen vuoksi voit rikkoa liikennesääntöjä, jotta pysytte aikataulussa.",Due to the customer's hurry you may break traffic rules to stay on schedule.,A,matkustajalla on kiire; liikenne on ruuhkautunut,the passenger is in a hurry; traffic is congested,Pidät asiakkaan tilanteen tasalla; kerrot mahdollisesta myöhästymisestä,keep the customer informed; notify them of any delay,ajaa loppumatkan ylinopeudella; rikkoa liikennesääntöjä,drive at speed; break traffic rules,Communicate the delay — that is the professional response (A). Speeding (B) or breaking rules (C) is never justified by a customer's schedule.,Easy,delay; communication; traffic congestion,ai-draft,
Q262,Työaika / ajopäiväkirja,M95,"Kuinka pitkä on taksinkuljettajan irtisanomisaika, kun työsuhde on kestänyt alle viisi vuotta?",How long is a taxi driver's notice period when the employment has lasted less than five years?,7 päivää.,7 days.,14 päivää.,14 days.,1 kuukausi.,1 month.,B,irtisanomisaika; alle viisi vuotta,notice period; less than five years,14 päivää,14 days,7 päivää; 1 kuukausi,7 days; 1 month,Under five years of service: 14-day notice period (B).,Easy,notice period; employment; under five years,ai-draft,
Q263,Ajolupa / viranomainen,M97,"Kuka vastaa siitä, että taksiliikennelupa on taksissa mukana?",Who is responsible for ensuring the taxi transport licence is in the taxi?,Taksinkuljettaja.,The taxi driver.,Taksiliikennelupa haltija.,The taxi transport licence holder.,"Ei kukaan, koska luvan mukana pitämistä ei vaadita.","No one, because keeping the licence with the vehicle is not required.",A,taksiliikennelupa on taksissa mukana,the transport licence is in the taxi,Taksinkuljettaja,the taxi driver,Taksiliikennelupa haltija; Ei kukaan,the licence holder; no one,The driver is responsible for carrying the licence in the vehicle (A).,Easy,transport licence; driver responsibility,ai-draft,
Q264,Hätätilanne / poliisi / ensiapu,P33,"Olet viemässä tuttua asiakasta elokuvateatteriin, kun yhtäkkiä asiakas saa kouristuskohtauksen. Tiedät asiakkaan sairastavan epilepsiaa. Mikä on ensimmäinen ensiaputoimenpiteesi?",You are taking a familiar customer to the cinema when they suddenly have a convulsion. You know they have epilepsy. What is your first first-aid action?,"Pidän tiukasti kiinni asiakkaasta, jottei hän satuttaisi itseään kouristuskohtauksen aikana.",I hold the customer tightly so they do not hurt themselves during the seizure.,"Huolehdit, ettei asiakas kolhi päätään, mutta et pyri estämään kouristusliikkeitä. Kun kouristukset vähenevät, käännät henkilön kylkiasentoon.",You make sure the customer does not bang their head but do not try to stop the convulsive movements. When the convulsions subside you turn them into the recovery position.,"Jatkat normaalisti matkaa, koska aikataulusi on tiukka ja arvelet kohtauksen menevän ohi.",You continue driving normally because your schedule is tight and you expect the seizure to pass.,B,kouristuskohtauksen; epilepsiaa,a convulsion/seizure; epilepsy,ettei asiakas kolhi päätään; et pyri estämään kouristusliikkeitä; kylkiasentoon,make sure they do not bang their head; do not try to stop the movements; recovery position,Pidän tiukasti kiinni; Jatkat normaalisti matkaa,hold tightly; continue driving,"Protect the head, do not restrain, then recovery position (B). Restraining risks injury (A); driving on is dangerous and irresponsible (C).",Hard,epilepsy; first aid; seizure,ai-draft,
Q265,Ajolupa / viranomainen,P45,Kuinka pitkään taksinkuljettajan ajolupa on enintään voimassa?,What is the maximum validity period of a taxi driver's licence?,Viisi vuotta.,Five years.,Viisitoista vuotta.,Fifteen years.,Toistaiseksi.,Indefinitely.,A,ajolupa on enintään voimassa,maximum validity of the licence,Viisi vuotta,five years,Viisitoista vuotta; Toistaiseksi,fifteen years; indefinitely,A taxi driver's licence is valid for up to five years (A).,Easy,licence; validity; five years,ai-draft,
Q266,Ajolupa / viranomainen,P46,Kuka myöntää taksinkuljettajan ajoluvan?,Who grants the taxi driver's licence?,ELY-keskus (liikenne).,The ELY Centre (transport).,Liikenne- ja viestintävirasto (Traficom).,The Finnish Transport and Communications Agency (Traficom).,Poliisi.,The police.,B,myöntää taksinkuljettajan ajoluvan,grants the taxi driver's licence,Liikenne- ja viestintävirasto (Traficom),Traficom,ELY-keskus; Poliisi,ELY Centre; police,Traficom (formerly Trafi) grants taxi driver licences (B). ELY Centres no longer handle this; the police can revoke but do not grant.,Easy,Traficom; licence grant; authority,ai-draft,
Q267,Ajolupa / viranomainen,P47,"Aulis on hankkinut taksinkuljettajan ajoluvan kolme vuotta sitten. Asemapaikka on Vantaa, mutta hän muuttaa Jyväskylään. Voiko Aulis aloittaa työskentelyn jyväskyläläisellä työnantajalla?",Aulis got his taxi licence three years ago. His home base is Vantaa but he is moving to Jyväskylä. Can he start with a Jyväskylä employer?,"Ei, sillä taksinkuljettajan ajolupa on voimassa vain kaksi vuotta.","No, because the licence is valid for only two years.","Kyllä, mutta suoritettuaan hyväksytysti Jyväskylän paikallistuntemuskokeen ja haettuaan kelpoisuusalueen laajentamista Traficomilta.","Yes, but only after passing the Jyväskylä local-knowledge test and applying to Traficom.","Kyllä, sillä taksinkuljettajan ajolupa on voimassa koko Manner-Suomen alueella.","Yes, because the licence is valid across all of mainland Finland.",C,ajolupa on voimassa koko Manner-Suomen,valid across mainland Finland,koko Manner-Suomen alueella,all of mainland Finland,voimassa vain kaksi vuotta; paikallistuntemuskokeen,only two years; local-knowledge test,The licence covers all of mainland Finland — no local test needed (C).,Medium,licence; mainland Finland; validity area,ai-draft,
Q268,Työaika / ajopäiväkirja,P48,Missä seuraavista tilanteista kuljettaja voi kieltäytyä kyydistä?,In which of the following situations may the driver refuse the ride?,Kyyti suuntautuu toiselle liikennealueelle.,The ride goes to another traffic area.,Laillinen työaika ylittyisi.,The legal working hours would be exceeded.,Asiakas on menossa toiselle kunnan alueelle.,The customer is going to another municipality's area.,B,kieltäytyä kyydistä,refuse the ride,Laillinen työaika ylittyisi,the legal working hours would be exceeded,toiselle liikennealueelle; toiselle kunnan alueelle,another traffic area; another municipality's area,A driver may refuse a ride if accepting it would breach legal working-hour limits (B). Going to another traffic area (A) or municipality (C) are not valid grounds for refusal.,Medium,refusal; working hours; legal limit,ai-draft,
Q269,Työaika / ajopäiväkirja,P49,Kalle on ajanut opintojensa ohella Ismo Isännälle neljä vuotta. Nyt hän lopettaa työsuhteensa. Kuinka pitkä on Kallen irtisanomisaika?,Kalle has driven for Ismo for four years alongside his studies. He is now ending the employment. How long is his notice period?,"14 päivää, sillä työsuhde on kestänyt alle viisi vuotta.","14 days, because the employment has lasted less than five years.","1 kuukausi, sillä työsuhde on yli vuoden, mutta alle viisi vuotta.","1 month, because the employment is over a year but less than five years.","Kalle voi lopettaa, sitten kun Ismo löytää uuden kuljettajan.",Kalle may leave once Ismo finds a new driver.,A,neljä vuotta; irtisanomisaika,four years; notice period,"14 päivää, sillä työsuhde on kestänyt alle viisi vuotta","14 days, less than five years",1 kuukausi; sitten kun Ismo löytää uuden kuljettajan,1 month; once Ismo finds a new driver,Under five years: 14-day notice (A). A month (B) is the over-five-year threshold; waiting for a replacement (C) is not the rule.,Easy,notice period; under five years; 14 days,ai-draft,
Q270,Työaika / ajopäiväkirja,P53,Koskeeko työaikalaki taksinkuljettajaa?,Does the Working Hours Act apply to taxi drivers?,Kyllä koskee.,"Yes, it does.","Ei koske, jos siitä on sovittu työnantajan kanssa.","No, if agreed with the employer.",Ei koske missään tilanteissa.,"No, under no circumstances.",A,työaikalaki,Working Hours Act,Kyllä koskee,"yes, it does","Ei koske, jos siitä on sovittu työnantajan kanssa; Ei koske missään tilanteissa",no if agreed; no under any circumstances,The Working Hours Act always applies to employed taxi drivers (A).,Easy,Working Hours Act; employment,ai-draft,
Q271,Ajolupa / viranomainen,P56,Millä alueella taksinkuljettajan ajolupa on voimassa?,In which area is a taxi driver's licence valid?,Kuljettajan pääasiallisessa asuinkunnassa.,In the driver's main municipality of residence.,Euroopan unionin alueella.,In the European Union.,Manner-Suomessa.,In mainland Finland.,C,ajolupa on voimassa,the licence is valid,Manner-Suomessa,mainland Finland,pääasiallisessa asuinkunnassa; Euroopan unionin alueella,main municipality; the EU,A taxi driver's licence is valid across all of mainland Finland (C).,Easy,licence; mainland Finland; validity area,ai-draft,
