Question ID,Topic,Ref #,Question (FI),Question (EN),Option A (FI),Option A (EN),Option B (FI),Option B (EN),Option C (FI),Option C (EN),Correct (A/B/C),Focus words (FI),Focus words (EN),Positive clues (FI),Positive clues (EN),Negative clues (FI),Negative clues (EN),Explanation (EN),Difficulty,Tags,Status,Reviewer notes
Q159,Valitus / palvelun taso,M54,Onko asiakkaalla oikeus valittaa taksimatkan aikana kokemastaan huonosta palvelusta?,Does the customer have the right to complain about poor service experienced during a taxi ride?,"Taksin valitessaan asiakas sitoutuu tiettyyn palveluun, jolloin hänellä ei ole oikeutta valittaa.","When choosing a taxi, the customer commits to a certain service level and therefore has no right to complain.","Asiakkaita kohtaan tulee aina käyttäytyä kohteliaasti ja asiallisesti, joten palvelun tasosta voi tehdä valituksen.","Customers must always be treated politely and professionally, so a complaint about service quality may be made.","Taksinkuljettajan toimintaa asiakaspalvelutilanteessa ei säädellä millään tavalla, joten palvelusta ei voi valittaa.","The taxi driver's conduct in a customer service situation is not regulated in any way, so service cannot be complained about.",B,oikeus valittaa; huonosta palvelusta,right to complain; poor service,käyttäytyä kohteliaasti ja asiallisesti; voi tehdä valituksen,treated politely and professionally; a complaint may be made,ei ole oikeutta valittaa; ei säädellä millään tavalla,has no right to complain; not regulated in any way,Taxi customer service is regulated and customers have the right to complain (B). A and C both falsely deny that right.,Easy,complaint; service quality; customer rights,ai-draft,
Q160,Löytötavara,M55,"Kuinka tulee toimia tilanteessa, jossa kyydin päätyttyä huomaat asiakkaan unohtaneen ajoneuvoon käsilaukkunsa?","How should you act when, at the end of the ride, you notice the customer has left their handbag in the vehicle?",Toimitat käsilaukun kuukauden kuluessa poliisin löytötavaratoimistoon.,You deliver the handbag to the police lost-property office within one month.,Voit jäädä odottamaan asiakkaan yhteydenottoa ja säilyttää käsilaukkua ajoneuvossa.,You may wait for the customer to contact you and keep the handbag in the vehicle.,Toimitat käsilaukun mahdollisimman pian tilausvälitysyhtiön toimistolle.,You deliver the handbag to the dispatch company's office as soon as possible.,C,käsilaukkunsa; kyydin päätyttyä,their handbag; at the end of the ride,mahdollisimman pian tilausvälitysyhtiön toimistolle,to the dispatch company's office as soon as possible,kuukauden kuluessa; jäädä odottamaan asiakkaan yhteydenottoa,within one month; wait for the customer to contact you,Hand the forgotten item to the dispatch office promptly (C). Waiting a month (A) or keeping it in the vehicle hoping the customer calls (B) are both insufficient.,Medium,lost property; dispatch office; found items,ai-draft,
Q161,Keskustelu / palvelutapa,M56,Kuinka kuljettaja pystyy vaikuttamaan asiakkaan kokemaan matkustusmukavuuteen matkan aikana?,How can the driver influence the travel comfort experienced by the customer during the journey?,Kuljettajan tulee ylläpitää jatkuvaa keskustelua asiakkaan kanssa.,The driver must maintain continuous conversation with the customer.,Kuljettajan tulee olla huomaamaton ja äänetön koko matkan ajan.,The driver must be unobtrusive and silent for the entire journey.,Kuljettajalla tulee olla hyvä tilannetaju asiakkaan tarpeista.,The driver must have good situational awareness of the customer's needs.,C,matkustusmukavuuteen,travel comfort,hyvä tilannetaju asiakkaan tarpeista,good situational awareness of the customer's needs,jatkuvaa keskustelua; äänetön koko matkan ajan,continuous conversation; silent for the entire journey,Good situational awareness of what the customer needs — including whether they want silence or chat — is the key (C). Continuous talking (A) and constant silence (B) are both extremes that ignore the customer.,Easy,comfort; situational awareness; customer needs,ai-draft,
Q162,Keskustelu / palvelutapa,M59,Mikä seuraavista on hyvää asiakaspalvelua?,Which of the following is good customer service?,"Kuljettaja tervehtii kohteliaasti ja tunnustelee, onko asiakas halukas jutustelemaan, ja antaa asiakkaan päättää aiheesta.","The driver greets politely, gauges whether the customer is willing to chat, and lets the customer choose the topic.",Kuljettaja tervehtii kohteliaasti ja suostuu keskustelemaan ainoastaan ajoreittiin liittyvistä asioista.,The driver greets politely and agrees to discuss only route-related matters.,Kuljettaja tervehtii kohteliaasti ja aloittaa keskustelun itselleen mieluisesta aiheesta.,The driver greets politely and starts a conversation about a topic they personally enjoy.,A,hyvää asiakaspalvelua,good customer service,"tunnustelee, onko asiakas halukas jutustelemaan; antaa asiakkaan päättää aiheesta",gauges whether the customer is willing to chat; lets the customer choose the topic,ainoastaan ajoreittiin liittyvistä asioista; itselleen mieluisesta aiheesta,only route-related matters; a topic they personally enjoy,Read the customer and follow their lead (A).,Easy,customer service; conversation,ai-draft,
Q163,Puhelin / viestimet,M6,Mikä seuraavista on hyvää viestimien käyttöön liittyvää asiakaspalvelua?,Which of the following is good customer service regarding device use?,"Kuljettaja voi lähettää viestejä, jos puhelin on äänettömällä.",The driver may send messages if the phone is on silent.,"Puhelun soittaminen, jos se on kuljetuksen suorittamiseksi välttämätöntä.",Making a call if it is essential for carrying out the transport.,"Kuljettaja voi puhua henkilökohtaisia puheluita, jos asiakas nukkuu.",The driver may make personal calls if the customer is sleeping.,B,viestimien käyttöön,device use,"Puhelun soittaminen, jos se on kuljetuksen suorittamiseksi välttämätöntä",making a call if essential for the transport,"voi lähettää viestejä, jos puhelin on äänettömällä; henkilökohtaisia puheluita, jos asiakas nukkuu",may send messages if on silent; personal calls if the customer is sleeping,Device use while driving is only permitted if essential for carrying out the transport — with hands-free (B). Silent mode (A) and sleeping customers (C) are not valid exceptions.,Medium,phone; device use; driving; essential calls,ai-draft,
Q164,Muu / asiakastilanne,M66,FI question EN question,,,,,,,,,,,,,,,,,review-flag,source-unclear,SOURCE MISSING: master has placeholder 'FI question EN question' with no real content. This question cannot be enriched. Mark as incomplete/skip.
Q165,Puhelin / viestimet,M69,"Saako taksinkuljettaja käyttää puhelinta ajon aikana siten, että pitää puhelinta kädessään?",May a taxi driver use a phone while driving by holding it in their hand?,Saa.,Yes.,Ei saa.,No.,"Saa, jos asiakas ei ole kyydissä.","Yes, if there is no customer in the car.",B,pitää puhelinta kädessään,holding the phone in their hand,Ei saa,no,"Saa; Saa, jos asiakas ei ole kyydissä",yes; yes if no customer,Holding a phone while driving is prohibited regardless of whether a customer is aboard (B).,Easy,phone; hand-held; driving,ai-draft,
Q166,Muu / asiakastilanne,M70,FI question EN question [Source image/question unclear] Source image unclear.,,,,,,,,,,,,,,,,,review-flag,source-unclear,SOURCE MISSING: master has placeholder text only. Cannot be enriched.
Q167,Muu / asiakastilanne,M71,Mikä seuraavista on peruste taksinkuljettajan ajoluvan peruuttamiseksi?,Which of the following is a ground for revoking a taxi driver's licence?,Kuljettaja ei ole työskennellyt viimeisen kolmen vuoden aikana taksinkuljettajana.,The driver has not worked as a taxi driver in the last three years.,Alueella toimivat taksinkuljettajat ja taksiyrittäjät suosittelevat ajoluvan peruuttamista.,The taxi drivers and taxi operators in the area recommend revoking the licence.,Kuljettaja on syyllistynyt törkeään liikenneturvallisuuden vaarantamiseen.,The driver has committed aggravated endangerment of traffic safety.,C,ajoluvan peruuttamiseksi,revoking the licence,törkeään liikenneturvallisuuden vaarantamiseen,aggravated endangerment of traffic safety,ei ole työskennellyt viimeisen kolmen vuoden; suosittelevat ajoluvan peruuttamista,has not worked in the last three years; recommend revoking,Committing a serious traffic safety offence is a legal ground for revocation (C). Not working for three years (A) and peer recommendations (B) are not grounds.,Medium,licence revocation; traffic offence; legal grounds,ai-draft,
Q168,Asiakaspalvelu,M72,Mitä seuraavista tiedoista kuljettajan ajopäiväkirjasta tulee ilmetä?,Which of the following information must appear in the driver's logbook?,Vuoron aikana ajettujen kyytien lukumäärä.,The number of rides driven during the shift.,Työvuoron aloitus- ja lopetusaika sekä pidettyjen taukojen ajankohdat.,The start and end time of the work shift and the times of breaks taken.,Selvitys työvuoron aikana asiakaspalveluun liittyneistä ongelmatilanteista.,A description of customer service problem situations during the shift.,B,ajopäiväkirjasta,the driver's logbook,aloitus- ja lopetusaika sekä pidettyjen taukojen ajankohdat,start and end time and break times,ajettujen kyytien lukumäärä; ongelmatilanteista,the number of rides; problem situations,The logbook must record shift start/end times and break times (B). Ride counts (A) and incident descriptions (C) are not required logbook entries.,Medium,logbook; work hours; breaks,ai-draft,
Q169,Keskustelu / palvelutapa,M73,"Miten toimit, kun kyytiin tulee asiakas, joka ilmoittaa, ettei hän halua keskustella?",How do you act when a customer boards and says they do not want to talk?,Annan asiakkaan istua rauhassa kyydissä ja ainoastaan pyydän reittiin liittyviä täsmennyksiä.,I let the customer sit in peace and only ask for route-related clarifications.,"Kuljettajan tulee osoittaa asiakkaalle, että hänellä on huonot vuorovaikutustaidot.",The driver must show the customer that they have poor social skills.,"Kuljettaja yrittää keskustella koko matkan ajan, sillä taksinkuljettajan tehtävänä on huolehtia viihtyvyyden ylläpitämisestä.",The driver tries to talk for the whole journey because the driver's job is to maintain comfort.,A,ettei hän halua keskustella,they do not want to talk,Annan asiakkaan istua rauhassa; n reittiin liittyviä täsmennyksiä,I let the customer sit in peace; only route-related clarifications,huonot vuorovaikutustaidot; yrittää keskustella koko matkan ajan,poor social skills; tries to talk the whole journey,Respect the customer's wish for silence and only speak when needed for the route (A). Mocking them (B) or forcing conversation (C) are both wrong.,Easy,quiet customer; respect; conversation,ai-draft,
Q170,Muu / asiakastilanne,M74,Ajat melko vilkasliikenteistä valtatietä kohti taksiasemaa. Yhtäkkiä huomaat tien reunalla kaatuneella polkupyöräilijän. Mikä on ensimmäinen toimenpide?,You are driving along a fairly busy main road toward the taxi rank. You suddenly notice a fallen cyclist by the roadside. What is the first thing to do?,Hengitysteiden avaaminen.,Open the airway.,Polkupyöräilijän tutkiminen mahdollisten murtumien ja verenvuotojen havaitsemiseksi.,Examine the cyclist to detect possible fractures and bleeding.,Polkupyöräilijän siirtäminen turvallisempaan paikkaan.,Move the cyclist to a safer place.,A,kaatuneella polkupyöräilijän; ensimmäinen toimenpide,a fallen cyclist; first action,Hengitysteiden avaaminen,open the airway,murtumien ja verenvuotojen havaitsemiseksi; siirtäminen turvallisempaan paikkaan,to detect fractures and bleeding; moving to a safer place,In first aid the airway is the first priority — check it is open (A). Checking for fractures (B) comes later; moving someone with a possible spinal injury (C) risks further harm and is only done if they are in immediate danger.,Medium,first aid; airway; accident; priority,ai-draft,OCR RECONSTRUCTION: source question was cut off ('huomaat tien reunalla'); reconstructed to include the full scenario ('kaatuneella polkupyöräilijän / a fallen cyclist'). Option A text also appears to be just the answer fragment; the full question is about first priority at an accident scene.
Q171,Muu / asiakastilanne,M75,FI question EN question [Source image/question unclear] Source image unclear.,,,,,,,,,,,,,,,,,review-flag,source-unclear,SOURCE MISSING: master has placeholder text only. Cannot be enriched.
Q172,Reitti / osoite,M77,"Asiakas tulee taksiasemalta kyytiisi ja ilmoittaa haluavansa osoitteeseen, joka ei ole sinulle ennestään tuttu. Kuinka toimit?",A customer boards your taxi from the rank and gives an address you do not know. How do you act?,"Lähdet ajamaan siihen suuntaan, jossa epäilet osoitteen sijaitsevan.",You start driving in the direction you think the address might be.,Näpyttelet osoitteen navigaattoriin ja seuraat sen antamia neuvoja.,You type the address into the sat-nav and follow its instructions.,"Kerrot asiakkaalle, ettei osoite valitettavasti ole sinulle ennestään tuttu, ja tiedustelet samalla hiukan lisätietoja osoitteesta.",You tell the customer that unfortunately the address is not familiar to you and ask for a little more information about it.,C,ole sinulle ennestään tuttu,an address you do not know,Kerrot asiakkaalle; tiedustelet samalla hiukan lisätietoja osoitteesta,you tell the customer; ask for a little more information about it,"ajamaan siihen suuntaan, jossa epäilet; Näpyttelet osoitteen navigaattoriin",driving in the direction you guess; type the address into the sat-nav,Be transparent with the customer and ask for more information (C). Guessing (A) wastes time and money; using only the sat-nav (B) without confirming with the customer risks navigation errors.,Easy,unknown address; communication; transparency,ai-draft,
Q173,Asiakkaan pyyntö / alkoholi,M78,Mikä seuraavista väittämistä on virheellinen?,Which of the following statements is incorrect?,Ajoneuvo tulee olla rekisteröity luvanvaraiseen liikenteeseen.,The vehicle must be registered for licensed transport.,Kuljettajalla tulee olla aina mukana taksinkuljettajan ajolupa.,The driver must always carry the taxi driver's licence.,Jokaisessa taksissa tulee olla alkolukko.,Every taxi must have an alcolock.,C,virheellinen,incorrect,Jokaisessa taksissa tulee olla alkolukko,every taxi must have an alcolock,rekisteröity luvanvaraiseen liikenteeseen; Kuljettajalla tulee olla aina mukana taksinkuljettajan ajolupa,registered for licensed transport; must always carry the licence,"C is the incorrect statement: an alcolock is only required in school and daycare transport vehicles, not every taxi. A and B are correct legal requirements.",Medium,alcolock; incorrect statement; licence; registration,ai-draft,
Q174,Puhelin / viestimet,M8,"Mitä teet, kun puhelimesi soi asiakkaan ollessa kyydissä eikä sinulla ole mukanasi hands-free-laitetta?",What do you do when your phone rings with a customer aboard and you have no hands-free device?,Pahoittelen asiakkaalle häiriötä ja hoidan puhelun ajon aikana.,I apologise to the customer for the disturbance and take the call while driving.,"Pahoittelen asiakkaalle häiriötä ja vastaan puhelimeen ajon aikana, ja pysähdyn tien varteen, jos puhelu kestää pitempään.","I apologise for the disturbance and answer while driving, pulling over if the call goes on longer.","Pahoittelet asiakkaalle häiriötä, et vastaa puheluun ja soitat takaisin kyydin päätyttyä.","You apologise for the disturbance, do not answer the call, and call back when the ride is over.",C,eikä sinulla ole mukanasi hands-free-laitetta,no hands-free device,et vastaa puheluun; soitat takaisin kyydin päätyttyä,do not answer the call; call back when the ride is over,hoidan puhelun ajon aikana; vastaan puhelimeen ajon aikana,take the call while driving; answer while driving,"Without a hands-free device you cannot legally answer the phone while driving; apologise and call back after the ride (C). A and B both involve taking a call without hands-free, which is illegal.",Medium,phone; no hands-free; illegal; call back,ai-draft,
Q175,Reitti / osoite,M80,"Mikä seuraavista on oikein, kun kyydissä olevan asiakkaan kohteeseen on valittavana useampi reitti?",Which is correct when there are several possible routes to the customer's destination?,"Asiakas saa valita reitin, mutta kuljettajan tulee neuvoa tarkoituksenmukaisimman reitin valinnassa.","The customer may choose the route, but the driver must advise on the most appropriate route.",Kuljettajan tulee aina ajaa navigaattorin osoittamaa reittiä.,The driver must always follow the sat-nav's route.,Kuljettaja valitsee aina edullisimman reitin.,The driver always chooses the cheapest route.,A,useampi reitti,several routes,Asiakas saa valita reitin; neuvoa tarkoituksenmukaisimman reitin,the customer may choose the route; advise on the most appropriate route,aina ajaa navigaattorin osoittamaa reittiä; aina edullisimman reitin,always follow the sat-nav; always the cheapest route,"The customer has the right to choose, with the driver's guidance on the most appropriate option (A). The driver need not blindly follow the sat-nav (B) or always choose cheapest (C).",Easy,route; customer choice; navigation,ai-draft,
Q176,Keskustelu / palvelutapa,M82,"Miten toimit, kun kyytiin tulee asiakas, joka ilmoittaa, ettei hän halua keskustella?",How do you act when a customer boards and says they do not want to talk?,Annan asiakkaan istua rauhassa kyydissä ja ainoastaan pyydän reittiin liittyviä täsmennyksiä.,I let the customer sit in peace and only ask for route-related clarifications.,"Kuljettajan tulee osoittaa asiakkaalle, että hänellä on huonot vuorovaikutustaidot.",The driver must show the customer that they have poor social skills.,"Kuljettaja yrittää keskustella koko matkan ajan, sillä taksinkuljettajan tehtävänä on huolehtia keskustelun ylläpitämisestä.",The driver tries to talk the whole journey because the driver's job is to maintain conversation.,A,ettei hän halua keskustella,does not want to talk,Annan asiakkaan istua rauhassa,let the customer sit in peace,huonot vuorovaikutustaidot; yrittää keskustella koko matkan,poor social skills; tries to talk the whole journey,Respect the customer's wish for silence (A).,Easy,quiet customer; respect,ai-draft,
Q177,Keskustelu / palvelutapa,M83,"Miten toimit, kun kyytiin tulee asiakas, joka ilmoittaa, ettei hän halua keskustella?",How do you act when a customer boards and says they do not want to talk?,Annan asiakkaan istua rauhassa kyydissä ja ainoastaan pyydän reittiin liittyviä asioita.,I let the customer sit in peace and only ask for route-related matters.,"Kuljettajan tulee osoittaa asiakkaalle, ettei hän itsekään halua keskustella.",The driver must show the customer that they too do not want to talk.,"Kuljettaja yrittää keskustella koko matkan ajan, sillä taksinkuljettaja huolehtii keskustelun ylläpitämisestä.",The driver tries to talk the whole journey because the driver maintains conversation.,A,ettei hän halua keskustella,does not want to talk,Annan asiakkaan istua rauhassa,let the customer sit in peace,ei hän halua keskustella; yrittää keskustella koko matkan,that they too do not want to talk; tries to talk the whole journey,Respect the customer's wish for silence (A).,Easy,quiet customer; respect,ai-draft,
Q178,Muu / asiakastilanne,M9,FI question EN question,,,,,,,,,,,,,,,,,review-flag,source-unclear,SOURCE MISSING: master has placeholder text only. Cannot be enriched.
Q179,Maksu / kuitti / hinta,M99,"Miten kuljettajan tulee valita käytettävä ajoreitti asiakkaan kohteeseen, jos matkustaja jättää valinnan kuljettajalle ja matkan hinta perustuu matkan pituuteen tai matkaan käytettävään aikaan?",How must the driver choose the route when the passenger leaves the choice to the driver and the fare is based on distance or time?,"Kuljettajan ei tarvitse valita reittiä, koska asiakkaan tulee tietää reitti perille.",The driver does not need to choose a route because the customer must know the way.,Kuljettaja voi valita minkä reitin tahansa.,The driver may choose any route.,Kuljettajan tulee valita matkustajan kannalta edullisin ja tarkoituksenmukaisin reitti.,The driver must choose the most cost-effective and appropriate route for the passenger.,C,matkan hinta perustuu matkan pituuteen tai matkaan käytettävään aikaan,the fare is based on distance or time,edullisin ja tarkoituksenmukaisin reitti,the most cost-effective and appropriate route,ei tarvitse valita reittiä; minkä reitin tahansa,does not need to choose a route; any route,"When the fare is meter-based and the customer leaves the route to the driver, the driver must choose the cheapest appropriate route (C).",Medium,route; meter fare; driver duty,ai-draft,
