Clue ID,Group,Phrase (FI),Meaning (EN),Effect (EN),Exception (EN)
clue-negative-w13,Negative clue words,asiakas päättää / oikeus valita / saa valita pysähtymispaikan,customer decides / right to choose,"Negative when customer choice conflicts with safety, law, route fairness, payment rules, or driver responsibility.",Customer can choose or influence the route when legal and fair; driver may still need to advise.
clue-negative-w14,Negative clue words,lyhyt / alle minuutti / alle kilometri,short / under a minute / under a kilometre,Usually wrong when it says a short distance/time removes safety or equipment duties.,Short distance may matter only if the law or question explicitly sets that exception.
clue-negative-w15,Negative clue words,takapenkillä ei tarvitse / kuljettajan ei tarvitse käyttää turvavyötä / ei tarvitse käyttää turvavyötä,back-seat/driver does not need seat belt,Usually negative: driver and passengers must follow seat-belt rules.,"Responsibility for a 15+ passenger may be the passenger’s, but that does not make seat-belt use optional."
clue-negative-w16,Negative clue words,henkilökohtaisia puheluita / lähettää viestejä / katsella televisiokuvaa,personal calls / send messages / watch screen,Negative while driving or with customer on board.,Work-related communication may be allowed only if necessary and handled safely.
clue-negative-w17,Negative clue words,käsipuhelin / puhelin kädessä / pitää puhelinta kädessä,handheld phone / phone in hand / without hands-free,Negative while driving; communication should be hands-free and only when necessary.,"If stopped safely and legally, communication may be handled differently."
clue-negative-w18,Negative clue words,väkisin / fyysisesti / huutaa,by force / physically / shout / push / hold tightly,"Negative in aggression, assistance, disability, and seizure situations.",Physical action is only for immediate safety/first aid and must be proportionate; do not restrain convulsions.
clue-negative-w19,Negative clue words,ei alkolukkoa / ilman alkolukkoa / olla käyttämättä alkolukkoa,no alcohol interlock / without interlock / switch vehicle,Negative in school/day-care transport where an alcohol interlock is required.,"Not every taxi needs alkolukko, so this clue depends on the transport type."
clue-negative-w20,Negative clue words,huoltajan lupa / huoltajan valtuutus / kirjallinen lupa,guardian permission / authorisation,Suspicious when used to override child seat-belt duties or official Kela/regular-taxi processes.,"Guardian involvement can be relevant for a child travelling alone, but it does not cancel legal safety duties."
clue-negative-w21,Negative clue words,kirjallinen valtakirja / valtakirja,written power of attorney,Often negative when it is used to justify buying alcohol or bypassing a formal process.,"A written authorisation may matter in other legal contexts, but not for illegal or unsafe requests."
clue-negative-w22,Negative clue words,odottaa autossa / odotan autossa / ei tarvitse poistua,wait in car / no need to leave car,"Often wrong in assistance, slow passenger, visually impaired, wheelchair, or safe-exit questions.",May be acceptable when no help is needed and leaving the vehicle would create a safety problem.
clue-negative-w23,Negative clue words,tarkastamatta / silmämääräisesti / vain silmämääräisesti,without checking / visually only,Negative in passenger-lift or equipment check questions.,"A visual check can be part of inspection, but not enough if functional testing is required."
clue-negative-w24,Negative clue words,vain asiakaspalveluun / keskittyä vain asiakaspalveluun / vain omaan ajoneuvoon,only customer service / focus only on one thing,"Wrong when it ignores traffic safety, anticipation, or special passenger needs.",Customer service is important but never replaces legal and safety duties.
clue-negative-w25,Negative clue words,ei kuljettajan vastuulla / vastuu päättyy / ei ole sinun vastuullasi,not driver responsibility / responsibility ends / customer responsible,Often negative when it tries to remove the driver’s duty to assist or ensure safety.,"Can be correct for 15+ seat-belt responsibility, but driver still manages safe transport."
clue-negative-w26,Negative clue words,oman harkinnan mukaan / minkä hyvänsä / minkä hyvänsä,at own discretion / any route / anything,"Often wrong when it ignores rules, passenger interest, route fairness, or legal limits.",Driver judgement matters only within legal and professional boundaries.
clue-negative-w27,Negative clue words,ottaa maksukortti / lompakko / pantiksi,take payment card/wallet/property as security,"Strong negative clue: driver should not take payment card, wallet, or valuables by force.","Use proper payment handling, discussion, dispatch/company process, or police if necessary."
clue-negative-w28,Negative clue words,soittaa torvea / rapsuttaa / napsuttaa,honk horn / pet/pat guide dog,Negative in visually impaired/guide-dog service questions.,"Guide dog may ride with the customer, but should not be distracted."
clue-negative-w29,Negative clue words,vaatii avustajan / ei mukana avustaja / avustaja ei ole mukana,requires assistant / no assistant,Negative when it assumes disability means refusing service or requiring an assistant.,"If an agreed receiver/assistant is missing for a vulnerable person, wait or arrange safe handover."
