page,local_id,label,problem_set_id,problem_count
/topic/passenger_safety/lessons/passenger_safety__accessibility-securement,passenger_safety__accessibility-securement,Taking care of passenger assistance and safety - Accessibility & Securement,jh7cm4yqvpgzqmqmxrdtmbfbds895w4x,3
/topic/passenger_safety/lessons/passenger_safety__emergency-risky-behaviour-traffic-safety,passenger_safety__emergency-risky-behaviour-traffic-safety,"Taking care of passenger assistance and safety - Emergency, Risky Behaviour & Traffic Safety",jh7c9ka1he3n4p2f9szrehv61s895c7h,4
/topic/special_needs/lessons/special_needs__communication-with-special-groups,special_needs__communication-with-special-groups,Special needs of different passenger groups - Communication with Special Groups,jh78x08216pzczdh5wc2k2hbhn894rdc,5
/topic/special_needs/lessons/special_needs__hearing-impairment,special_needs__hearing-impairment,Special needs of different passenger groups - Hearing Impairment,jh79cy9tp1143es5xcp2rccht9895xrw,2
/topic/special_needs/lessons/special_needs__visual-impairment-guide-dog,special_needs__visual-impairment-guide-dog,Special needs of different passenger groups - Visual Impairment & Guide Dog,jh71v84e0phtmv2sy1x11x1ja58945zx,10
/topic/special_needs/lessons/special_needs__wheelchair-accessibility-assistance,special_needs__wheelchair-accessibility-assistance,Special needs of different passenger groups - Wheelchair & Accessibility Assistance,jh7bw6hb5bb7d1pkfr98f7dk4h8948ac,6
/topic/special_needs/lessons/special_needs__medical-special-need-assistance,special_needs__medical-special-need-assistance,Special needs of different passenger groups - Medical / Special-Need Assistance,jh78txxzxxrzxfp61g0y0wh2sd895dc8,17
/topic/special_needs/lessons/special_needs__payment-receipt-kela-fare,special_needs__payment-receipt-kela-fare,"Special needs of different passenger groups - Payment, Receipt, Kela & Fare",jh7efgj64tvex6xs79nas0zm39895cgm,9
/topic/special_needs/lessons/special_needs__seatbelt-safety-devices,special_needs__seatbelt-safety-devices,Special needs of different passenger groups - Seatbelt & Safety Devices,jh70jy0earrjyf60srjh272vfh895z1g,4
/topic/special_needs/lessons/special_needs__general-duties-school-traffic-rules,special_needs__general-duties-school-traffic-rules,"Special needs of different passenger groups - General Duties, School & Traffic Rules",jh73j8tj0t6tvmpyb7yete3k5h894yyy,4
/topic/customer_service/lessons/customer_service__payment-receipt-kela-fare,customer_service__payment-receipt-kela-fare,"Customer-service situations in taxi services - Payment, Receipt, Kela & Fare",jh726g0azjwevqtd6rd0nyxp7h894haz,17
/topic/customer_service/lessons/customer_service__general-customer-service-attitude,customer_service__general-customer-service-attitude,Customer-service situations in taxi services - General Customer Service & Attitude,jh7dt9bsseac7xatm6me04kxgx895vw0,4
/topic/customer_service/lessons/customer_service__conversation-service-style-language,customer_service__conversation-service-style-language,"Customer-service situations in taxi services - Conversation, Service Style & Language",jh7bncffh15wdntdt2qta7pczx895t6c,12
/topic/customer_service/lessons/customer_service__phone-messages-communication-tools,customer_service__phone-messages-communication-tools,"Customer-service situations in taxi services - Phone, Messages & Communication Tools",jh7d43rp4z2ne3hp87jjq6m2v98952a8,7
/topic/customer_service/lessons/customer_service__trip-route-luggage-action-words,customer_service__trip-route-luggage-action-words,"Customer-service situations in taxi services - Trip, Route, Luggage & Action Words",jh75x2rcajj8x6r6fpgh7t6nvh895aqr,10
/topic/customer_service/lessons/customer_service__complaints-service-quality,customer_service__complaints-service-quality,Customer-service situations in taxi services - Complaints & Service Quality,jh75w0eqrv5fymcpqr3g4xg8th8952bv,2
/topic/customer_service/lessons/customer_service__customer-requests-alcohol-difficult-situations,customer_service__customer-requests-alcohol-difficult-situations,"Customer-service situations in taxi services - Customer Requests, Alcohol & Difficult Situations",jh7277czmsq322j7s0e1ajpfpx8950p6,14
/topic/customer_service/lessons/customer_service__safety-police-emergency-legal-duties,customer_service__safety-police-emergency-legal-duties,"Customer-service situations in taxi services - Safety, Police/Emergency & Legal Duties",jh7bc7es7bj6a9c3c1jdcj1gf58949gj,17
/topic/customer_service/lessons/customer_service__passenger-assistance-special-cases,customer_service__passenger-assistance-special-cases,Customer-service situations in taxi services - Passenger Assistance & Special Cases,jh74ngsxngv5ta2c14x9heq97h894yrj,4
/topic/traffic_safety/lessons/traffic_safety__traffic-safety-driving-rules,traffic_safety__traffic-safety-driving-rules,Factors affecting transport and traffic safety - Traffic Safety & Driving Rules,jh70rkms5f1n863rmq2z61eh21895k2s,20
/topic/traffic_safety/lessons/traffic_safety__police-emergency-risky-behaviour,traffic_safety__police-emergency-risky-behaviour,"Factors affecting transport and traffic safety - Police, Emergency & Risky Behaviour",jh7ccmb9cb3s003ydx17275k9d895dxp,18
/topic/traffic_safety/lessons/traffic_safety__licences-duties-legal-rules,traffic_safety__licences-duties-legal-rules,"Factors affecting transport and traffic safety - Licences, Duties & Legal Rules",jh7ad28xq5qg4mepcggsv81a4s894wrk,38
/topic/traffic_safety/lessons/traffic_safety__alcohol-interlock-alcohol-rules,traffic_safety__alcohol-interlock-alcohol-rules,Factors affecting transport and traffic safety - Alcohol Interlock & Alcohol Rules,jh72hdvvqmg99d8kpe3wyg0ew989541e,2
/topic/traffic_safety/lessons/traffic_safety__general-taxi-driver-duties,traffic_safety__general-taxi-driver-duties,Factors affecting transport and traffic safety - General Taxi Driver Duties,jh76b4j5pwta2c4gfe4fpf2jjx894vxd,5
/topic/traffic_safety/lessons/traffic_safety__school-daycare-transport-safety,traffic_safety__school-daycare-transport-safety,Factors affecting transport and traffic safety - School & Daycare Transport Safety,jh7erxhfpj32en186a969m7ygx895btg,5
